"","from","to"
"2010","HDclassif","graphics"
"2011","HDclassif","stats"
"2012","HDclassif","MASS"
"2013","HFWutils","debug"
"2014","HFWutils","grDevices"
"2015","HFWutils","methods"
"2016","HFWutils","R.oo"
"2017","HGLMMM","Matrix"
"2018","HGLMMM","numDeriv"
"2019","HGLMMM","methods"
"2020","HGLMMM","lattice"
"2021","HH","lattice"
"2022","HH","stats"
"2023","HH","grid"
"2024","HH","multcomp"
"2025","HH","mvtnorm"
"2026","HH","methods"
"2027","HH","leaps"
"2028","HI","R"
"2029","HLMdiag","lme4"
"2030","HLMdiag","MASS"
"2031","HLMdiag","ggplot2"
"2032","HMM","R"
"2033","HPbayes","MASS"
"2034","HPbayes","mvtnorm"
"2035","HPbayes","corpcor"
"2036","HPbayes","numDeriv"
"2037","HPbayes","stats"
"2038","HPbayes","boot"
"2039","HSAUR","lattice"
"2040","HSAUR","MASS"
"2041","HSAUR","scatterplot3d"
"2042","HSAUR2","lattice"
"2043","HSAUR2","MASS"
"2044","HSAUR2","scatterplot3d"
"2045","HTMLUtils","R2HTML"
"2046","HWEBayes","MCMCpack"
"2047","HWEBayes","mvtnorm"
"2048","HWEintrinsic","methods"
"2049","HWEintrinsic","utils"
"2050","HadoopStreaming","getopt"
"2051","HapEstXXR","survival"
"2052","Haplin","MASS"
"2053","Haplin","mgcv"
"2054","HaploSim","methods"
"2055","HaploSim","utils"
"2056","HaploSim","R"
"2057","HardyWeinberg","R"
"2058","HardyWeinberg","graphics"
"2059","HardyWeinberg","stats"
"2060","Hmisc","survival"
"2061","HumMeth27QCReport","amap"
"2062","HumMeth27QCReport","Hmisc"
"2063","HumMeth27QCReport","gplots"
"2064","HumMeth27QCReport","plotrix"
"2065","HumMeth27QCReport","WriteXLS"
"2066","HumMeth27QCReport","tcltk"
"2067","HybridMC","utils"
"2068","HybridMC","coda"
"2069","HydroMe","nlme"
"2070","HyperbolicDist","R"
"2071","haarfisz","wavethresh"
"2072","hacks","R"
"2073","hapassoc","R"
"2074","hapassoc","stats"
"2075","haplo.ccs","haplo.stats"
"2076","haplo.ccs","survival"
"2077","haplo.stats","R"
"2078","hapsim","MASS"
"2079","hash","R"
"2080","hash","methods"
"2081","hash","utils"
"2082","hbim","mvtnorm"
"2083","hbmem","R"
"2084","hbmem","methods"
"2085","hddplot","MASS"
"2086","hdeco","R"
"2087","hdrcde","locfit"
"2088","hdrcde","ash"
"2089","hdrcde","ks"
"2090","hdrcde","KernSmooth"
"2091","helloJavaWorld","rJava"
"2092","helpr","highlight"
"2093","helpr","sinartra"
"2094","helpr","digest"
"2095","helpr","parser"
"2096","helpr","rjson"
"2097","helpr","tools"
"2098","helpr","stringr"
"2099","helpr","evaluate"
"2100","helpr","RCurl"
"2101","helpr","memoise"
"2102","heplots","car"
"2103","heplots","graphics"
"2104","heplots","stats"
"2105","hergm","ergm"
"2106","hergm","snow"
"2107","hett","MASS"
"2108","hexView","R"
"2109","hexbin","lattice"
"2110","hgam","grplasso"
"2111","hgam","splines"
"2112","hgam","lattice"
"2113","hgam","rgl"
"2114","hier.part","gtools"
"2115","highlight","codetools"
"2116","highlight","utils"
"2117","highlight","parser"
"2118","highlight","Rcpp"
"2119","hisemi","Matrix"
"2120","hisemi","Iso"
"2121","hisemi","splines"
"2122","hisemi","fda"
"2123","hisemi","MASS"
"2124","hive","rJava"
"2125","hive","tools"
"2126","hive","XML"
"2127","hlr","MASS"
"2128","hmm.discnp","R"
"2129","homals","rgl"
"2130","homals","ape"
"2131","homals","scatterplot3d"
"2132","homtest","stats"
"2133","hopach","cluster"
"2134","hopach","methods"
"2135","hotspots","lattice"
"2136","hotspots","ineq"
"2137","hsmm","R"
"2138","hts","forecast"
"2139","hts","SparseM"
"2140","huge","glmnet"
"2141","huge","glasso"
"2142","huge","igraph"
"2143","huge","MASS"
"2144","huge","Matrix"
"2145","huge","lattice"
"2146","hwde","R"
"2147","hwriter","R"
"2148","hybridHclust","cluster"
"2149","hydroGOF","hydroTSM"
"2150","hydroTSM","zoo"
"2151","hydroTSM","gstat"
"2152","hydroTSM","automap"
"2153","hyperSpec","methods"
"2154","hyperSpec","utils"
"2155","hyperSpec","lattice"
"2156","hyperdirichlet","aylmer"
"2157","hyperdirichlet","abind"
"2158","hyperdirichlet","mvtnorm"
"2159","hyperdirichlet","cubature"
"2160","hypergeo","contfrac"
"2161","hypergeo","elliptic"
"2162","hypred","R"
"2163","hypred","methods"
"2164","IBrokers","xts"
"2165","ICE","KernSmooth"
"2166","ICEinfer","lattice"
"2167","ICS","mvtnorm"
"2168","ICS","survey"
"2169","ICSNP","mvtnorm"
"2170","ICSNP","ICS"
"2171","IDPmisc","lattice"
"2172","IFP","haplo.stats"
"2173","IMIS","mvtnorm"
"2174","IPSUR","distr"
"2175","IQCC","qcc"
"2176","IQCC","MASS"
"2177","IQCC","micEcon"
"2178","ISA","R"
"2179","ISA","stats"
"2180","ISA","utils"
"2181","ISA","tools"
"2182","ISOcodes","R"
"2183","ISwR","R"
"2184","Icens","survival"
"2185","ImageMetrics","ReadImages"
"2186","ImageMetrics","png"
"2187","ImageMetrics","maps"
"2188","ImageMetrics","tcltk"
"2189","ImageMetrics","tkrplot"
"2190","ImageMetrics","methods"
"2191","Imap","R"
"2192","ImpactIV","nnet"
"2193","IniStatR","R"
"2194","Interpol","R"
"2195","Iso","R"
"2196","IsoGene","tcltk"
"2197","IsoGene","Iso"
"2198","IsoGene","ff"
"2199","iBUGS","R2WinBUGS"
"2200","iBUGS","gWidgetsRGtk2"
"2201","iCluster","R"
"2202","iGenomicViewer","sendplot"
"2203","iSubpathwayMiner","graph"
"2204","iSubpathwayMiner","RBGL"
"2205","iSubpathwayMiner","igraph"
"2206","iSubpathwayMiner","XML"
"2207","iSubpathwayMiner","fdrtool"
"2208","iSubpathwayMiner","utils"
"2209","ibdreg","R"
"2210","ibr","fields"
"2211","ic.infer","quadprog"
"2212","ic.infer","mvtnorm"
"2213","ic.infer","boot"
"2214","ic.infer","kappalab"
"2215","ic50","tcltk"
"2216","icaOcularCorrection","fastICA"
"2217","identity","R"
"2218","ifa","R"
"2219","ifultools","splus2R"
"2220","igraph","stats"
"2221","igraphtosonia","igraph"
"2222","iid.test","clim.pact"
"2223","iid.test","R"
"2224","imguR","XML"
"2225","imguR","RCurl"
"2226","imprProbEst","inline"
"2227","imprProbEst","lpSolve"
"2228","impute","R"
"2229","ineq","R"
"2230","ineq","stats"
"2231","ineq","graphics"
"2232","ineq","grDevices"
"2233","inference","sandwich"
"2234","inference","methods"
"2235","influence.ME","lme4"
"2236","influence.ME","lattice"
"2237","infoDecompuTE","MASS"
"2238","infochimps","RCurl"
"2239","infochimps","RJSONIO"
"2240","inline","R"
"2241","inline","methods"
"2242","inlinedocs","methods"
"2243","inlinedocs","utils"
"2244","intamap","sp"
"2245","intamap","gstat"
"2246","intamap","rgdal"
"2247","intamap","akima"
"2248","intamap","automap"
"2249","intamap","mvtnorm"
"2250","intamap","MASS"
"2251","intamap","evd"
"2252","intamap","lattice"
"2253","intamapInteractive","spcosa"
"2254","intamapInteractive","spatstat"
"2255","intamapInteractive","intamap"
"2256","intcox","survival"
"2257","integrativeME","mclust"
"2258","integrativeME","mixOmics"
"2259","integrativeME","randomForest"
"2260","interval","survival"
"2261","interval","perm"
"2262","interval","Icens"
"2263","interval","MLEcens"
"2264","intervals","R"
"2265","intervals","methods"
"2266","introgress","nnet"
"2267","introgress","genetics"
"2268","introgress","RColorBrewer"
"2269","ipdmeta","survival"
"2270","ipdmeta","coxme"
"2271","ipdmeta","Matrix"
"2272","ipdmeta","phmm"
"2273","iplots","rJava"
"2274","ipptoolbox","AlgDesign"
"2275","ipptoolbox","copula"
"2276","ipptoolbox","evd"
"2277","ipptoolbox","triangle"
"2278","ipred","rpart"
"2279","ipred","MASS"
"2280","ipred","mlbench"
"2281","ipred","survival"
"2282","ipred","nnet"
"2283","ipred","class"
"2284","ipw","boot"
"2285","ipw","geepack"
"2286","ipw","MASS"
"2287","ipw","nlme"
"2288","ipw","nnet"
"2289","ipw","survey"
"2290","ipw","survival"
"2291","irr","lpSolve"
"2292","irtProb","lattice"
"2293","irtProb","methods"
"2294","irtProb","stats"
"2295","irtProb","moments"
"2296","irtoys","sm"
"2297","irtoys","ltm"
"2298","isa2","methods"
"2299","ismev","R"
"2300","isopam","cluster"
"2301","isopam","vegan"
"2302","isva","qvalue"
"2303","isva","fastICA"
"2304","iterLap","quadprog"
"2305","iterLap","randtoolbox"
"2306","iterators","R"
"2307","iterators","utils"
"2308","itertools","iterators"
"2309","its","Hmisc"
"2310","iv","ofp"
"2311","ivivc","rgenoud"
"2312","ivivc","odesolve"
"2313","ivivc","reshape"
"2314","ivivc","sciplot"
"2315","JGR","rJava"
"2316","JGR","JavaGD"
"2317","JGR","iplots"
"2318","JJcorr","fCopulae"
"2319","JJcorr","mvtnorm"
"2320","JM","MASS"
"2321","JM","nlme"
"2322","JM","splines"
"2323","JM","survival"
"2324","JOP","Rsolnp"
"2325","JOP","rgenoud"
"2326","JOP","stats"
"2327","JOP","JointModeling"
"2328","JavaGD","R"
"2329","JointModeling","mgcv"
"2330","JudgeIt","R"
"2331","KFAS","R"
"2332","KMsurv","survival"
"2333","Kendall","R"
"2334","KernSmooth","R"
"2335","KernSmooth","stats"
"2336","KrigInv","DiceKriging"
"2337","KrigInv","rgenoud"
"2338","KrigInv","MASS"
"2339","KrigInv","lhs"
"2340","kappalab","lpSolve"
"2341","kappalab","quadprog"
"2342","kappalab","kernlab"
"2343","kerdiest","date"
"2344","kerdiest","chron"
"2345","kerfdr","R"
"2346","kernelPop","ape"
"2347","kernelPop","ade4"
"2348","kernelPop","MASS"
"2349","kernlab","R"
"2350","kernlab","methods"
"2351","kin.cohort","survival"
"2352","kinship","methods"
"2353","kinship","survival"
"2354","kinship","nlme"
"2355","kinship","lattice"
"2356","kinship","R"
"2357","kknn","R"
"2358","klaR","MASS"
"2359","klin","Matrix"
"2360","km.ci","survival"
"2361","km.ci","stats"
"2362","kmi","survival"
"2363","kmi","mitools"
"2364","kml","methods"
"2365","kml","longitudinalData"
"2366","kml","clv"
"2367","kml3d","methods"
"2368","kml3d","clv"
"2369","kml3d","rgl"
"2370","kml3d","misc3d"
"2371","knnflex","R"
"2372","knorm","MASS"
"2373","kohonen","class"
"2374","kohonen","MASS"
"2375","ks","KernSmooth"
"2376","ks","mvtnorm"
"2377","ks","rgl"
"2378","ks","misc3d"
"2379","kst","proxy"
"2380","kst","relations"
"2381","kst","sets"
"2382","kzft","polynom"
"2383","kzs","lattice"
"2384","kzs","stats"
"2385","LCAextend","boot"
"2386","LCAextend","mvtnorm"
"2387","LCAextend","Design"
"2388","LCAextend","kinship"
"2389","LDdiag","MASS"
"2390","LDheatmap","R"
"2391","LDheatmap","grid"
"2392","LIM","limSolve"
"2393","LIM","diagram"
"2394","LLAhclust","R"
"2395","LLdecomp","randomForest"
"2396","LLdecomp","igraph"
"2397","LLdecomp","gRain"
"2398","LMERConvenienceFunctions","languageR"
"2399","LMERConvenienceFunctions","Design"
"2400","LMGene","multtest"
"2401","LMGene","survival"
"2402","LS2W","wavethresh"
"2403","LSD","MASS"
"2404","LSD","gtools"
"2405","LSD","RColorBrewer"
"2406","LSD","colorRamps"
"2407","LSD","schoolmath"
"2408","LVQTools","methods"
"2409","LambertW","moments"
"2410","LambertW","gsl"
"2411","LambertW","MASS"
"2412","LambertW","nortest"
"2413","LambertW","maxLik"
"2414","LaplacesDemon","R"
"2415","LogConcDEAD","MASS"
"2416","LogConcDEAD","mvtnorm"
"2417","LogicForest","LogicReg"
"2418","LogicForest","CircStats"
"2419","LogicForest","gtools"
"2420","LogicForest","plotrix"
"2421","LogicReg","survival"
"2422","LoopAnalyst","nlme"
"2423","labdsv","mgcv"
"2424","labdsv","MASS"
"2425","labeltodendro","R"
"2426","laeken","boot"
"2427","laeken","MASS"
"2428","lancet.iraqmortality","foreign"
"2429","landsat","rgdal"
"2430","landsat","lmodel2"
"2431","languageR","lattice"
"2432","languageR","zipfR"
"2433","languageR","Matrix"
"2434","languageR","lme4"
"2435","lars","R"
"2436","laser","ape"
"2437","laser","geiger"
"2438","lasso2","R"
"2439","latentnet","network"
"2440","latentnet","shapes"
"2441","latentnet","abind"
"2442","latentnet","tools"
"2443","latentnet","mvtnorm"
"2444","latentnet","coda"
"2445","lattice","R"
"2446","latticeExtra","RColorBrewer"
"2447","latticeExtra","lattice"
"2448","latticedl","plyr"
"2449","latticedl","lattice"
"2450","latticedl","grid"
"2451","latticist","lattice"
"2452","latticist","latticeExtra"
"2453","latticist","vcd"
"2454","lavaan","R"
"2455","lavaan","methods"
"2456","lawstat","mvtnorm"
"2457","lawstat","VGAM"
"2458","lcd","igraph"
"2459","lcd","methods"
"2460","lcda","poLCA"
"2461","lcmm","R"
"2462","lda.cv","MASS"
"2463","ldbounds","lattice"
"2464","ldlasso","GenABEL"
"2465","ldlasso","quadprog"
"2466","leiv","R"
"2467","leiv","methods"
"2468","leiv","stats"
"2469","lfe","Matrix"
"2470","lfe","R"
"2471","lga","R"
"2472","lgtdl","R"
"2473","lhs","R"
"2474","limSolve","quadprog"
"2475","limSolve","lpSolve"
"2476","limSolve","MASS"
"2477","limitplot","R"
"2478","linprog","lpSolve"
"2479","list","VGAM"
"2480","list","magic"
"2481","list","gamlss.dist"
"2482","list","MASS"
"2483","list","quadprog"
"2484","list","arm"
"2485","list","corpcor"
"2486","list","mvtnorm"
"2487","list","sandwich"
"2488","lmSupport","car"
"2489","lmSupport","psych"
"2490","lmSupport","gplots"
"2491","lmSupport","gvlma"
"2492","lme4","methods"
"2493","lme4","Matrix"
"2494","lme4","lattice"
"2495","lmeSplines","nlme"
"2496","lmec","mvtnorm"
"2497","lmm","R"
"2498","lmomRFA","lmom"
"2499","lmomco","R"
"2500","lmomco","utils"
"2501","lmtest","zoo"
"2502","localdepth","circular"
"2503","locfdr","splines"
"2504","locfit","akima"
"2505","locfit","lattice"
"2506","locpol","R"
"2507","lodplot","R"
"2508","lodplot","grid"
"2509","lodplot","graphics"
"2510","lodplot","stats"
"2511","log10","R"
"2512","log4r","testthat"
"2513","logging","R"
"2514","logging","methods"
"2515","logistf","MASS"
"2516","loglognorm","R"
"2517","lokern","sfsmisc"
"2518","longRPart","nlme"
"2519","longRPart","rpart"
"2520","longitudinal","corpcor"
"2521","longitudinalData","methods"
"2522","longitudinalData","clv"
"2523","longmemo","R"
"2524","longpower","Matrix"
"2525","longpower","lme4"
"2526","longpower","methods"
"2527","lordif","MASS"
"2528","lordif","msm"
"2529","lordif","mvtnorm"
"2530","lordif","polycor"
"2531","lordif","sfsmisc"
"2532","lordif","ltm"
"2533","lordif","Hmisc"
"2534","lordif","Design"
"2535","lossDev","rjags"
"2536","lossDev","filehash"
"2537","lossDev","logspline"
"2538","lossDev","utils"
"2539","lpSolveAPI","R"
"2540","lpridge","stats"
"2541","lpridge","R"
"2542","lsa","Snowball"
"2543","lsa","RWeka"
"2544","lspls","pls"
"2545","lss","quantreg"
"2546","ltm","MASS"
"2547","ltm","msm"
"2548","ltm","mvtnorm"
"2549","ltm","polycor"
"2550","ltsa","R"
"2551","lubridate","R"
"2552","luca","survival"
"2553","luca","genetics"
"2554","MADAM","snow"
"2555","MADAM","qvalue"
"2556","MADAM","RColorBrewer"
"2557","MADAM","gplots"
"2558","MADAM","impute"
"2559","MALDIquant","R"
"2560","MALDIquant","methods"
"2561","MAMA","xtable"
"2562","MAMA","metaMA"
"2563","MAMA","gtools"
"2564","MAMA","gplots"
"2565","MAMA","multtest"
"2566","MAMSE","R"
"2567","MARSS","MASS"
"2568","MARSS","mvtnorm"
"2569","MARSS","nlme"
"2570","MARSS","time"
"2571","MASS","R"
"2572","MASS","grDevices"
"2573","MASS","graphics"
"2574","MASS","stats"
"2575","MASS","utils"
"2576","MAT","MASS"
"2577","MAc","R"
"2578","MAclinical","party"
"2579","MAclinical","plsgenomics"
"2580","MAclinical","st"
"2581","MAclinical","e1071"
"2582","MAd","R"
"2583","MBA","sp"
"2584","MBESS","R"
"2585","MCAPS","stashR"
"2586","MCLIME","lpSolve"
"2587","MCMCglmm","tensorA"
"2588","MCMCglmm","Matrix"
"2589","MCMCglmm","coda"
"2590","MCMCglmm","ape"
"2591","MCMCglmm","corpcor"
"2592","MCMChybridGP","MASS"
"2593","MCMCpack","coda"
"2594","MCMCpack","MASS"
"2595","MCMCpack","stats"
"2596","MCPAN","mvtnorm"
"2597","MCPAN","multcomp"
"2598","MCPMod","mvtnorm"
"2599","MCPMod","lattice"
"2600","MCPMod","R"
"2601","MChtest","stats"
"2602","MDR","lattice"
"2603","MEMSS","lme4"
"2604","MFDA","gss"
"2605","MFDA","mvtnorm"
"2606","MFDF","fda"
"2607","MFDF","zoo"
"2608","MISA","coda"
"2609","MIfuns","reshape"
"2610","MIfuns","methods"
"2611","MIfuns","lattice"
"2612","MIfuns","grid"
"2613","MIfuns","XML"
"2614","MIfuns","MASS"
"2615","MKmisc","robustbase"
"2616","MKmisc","RColorBrewer"
"2617","MLCM","R"
"2618","MLCM","graphics"
"2619","MLCM","stats"
"2620","MLCM","utils"
"2621","MLCM","base"
"2622","MLDA","R"
"2623","MLDS","R"
"2624","MLDS","graphics"
"2625","MLDS","stats"
"2626","MLDS","utils"
"2627","MLDS","base"
"2628","MLPAstats","nlme"
"2629","MLPAstats","boot"
"2630","MLPAstats","tcltk"
"2631","MLPAstats","tkrplot"
"2632","MLPAstats","pixmap"
"2633","MMG","R"
"2634","MMST","R"
"2635","MNM","ellipse"
"2636","MNM","ICS"
"2637","MNM","ICSNP"
"2638","MNM","SpatialNP"
"2639","MNM","mvtnorm"
"2640","MNM","survey"
"2641","MNP","MASS"
"2642","MNP","utils"
"2643","MOCCA","cclust"
"2644","MOCCA","clv"
"2645","MPV","R"
"2646","MSBVAR","KernSmooth"
"2647","MSBVAR","xtable"
"2648","MSBVAR","coda"
"2649","MSBVAR","bit"
"2650","MSBVAR","mvtnorm"
"2651","MSBVAR","lattice"
"2652","MSToolkit","MASS"
"2653","MUCflights","XML"
"2654","MUCflights","geosphere"
"2655","MUCflights","sp"
"2656","MUCflights","RSQLite"
"2657","MUCflights","NightDay"
"2658","MVpower","randomForest"
"2659","MVpower","pamr"
"2660","MVpower","kernlab"
"2661","MVpower","class"
"2662","MaXact","mnormt"
"2663","MarkedPointProcess","RandomFields"
"2664","MarkedPointProcess","R2Cuba"
"2665","MasterBayes","coda"
"2666","MasterBayes","genetics"
"2667","MasterBayes","gtools"
"2668","MasterBayes","kinship"
"2669","MatchIt","MASS"
"2670","Matching","rgenoud"
"2671","Matching","MASS"
"2672","Matching","graphics"
"2673","Matching","grDevices"
"2674","Matching","stats"
"2675","Matrix","lattice"
"2676","MatrixModels","Matrix"
"2677","Mcomp","tseries"
"2678","Mcomp","forecast"
"2679","MeDiChI","lars"
"2680","MeDiChI","quadprog"
"2681","MeDiChI","corpcor"
"2682","MeDiChI","Matrix"
"2683","MetABEL","R"
"2684","MetABEL","grid"
"2685","MetabolAnalyze","mclust"
"2686","MetabolAnalyze","mvtnorm"
"2687","MetabolAnalyze","ellipse"
"2688","MetabolAnalyze","gtools"
"2689","MetabolAnalyze","gplots"
"2690","Metabonomic","tcltk"
"2691","Metabonomic","tkrplot"
"2692","Metabonomic","robustbase"
"2693","Metabonomic","MASS"
"2694","Metabonomic","gpls"
"2695","Metabonomic","pls"
"2696","Metabonomic","splines"
"2697","Metabonomic","class"
"2698","Metabonomic","nnet"
"2699","Metabonomic","AMORE"
"2700","Metabonomic","clusterSim"
"2701","Metabonomic","hddplot"
"2702","Metabonomic","scatterplot3d"
"2703","Metabonomic","relimp"
"2704","Metabonomic","Icens"
"2705","Metabonomic","FTICRMS"
"2706","Metabonomic","waved"
"2707","Metabonomic","Matrix"
"2708","Metabonomic","caTools"
"2709","Meth27QC","gplots"
"2710","Meth27QC","tcltk"
"2711","MethComp","nlme"
"2712","MiscPsycho","statmod"
"2713","MixSim","MASS"
"2714","Modalclust","mvtnorm"
"2715","Modalclust","zoo"
"2716","Modalclust","class"
"2717","ModelGood","R"
"2718","ModelMap","randomForest"
"2719","ModelMap","gbm"
"2720","ModelMap","PresenceAbsence"
"2721","ModelMap","rgdal"
"2722","MortalitySmooth","svcm"
"2723","MplusAutomation","gsubfn"
"2724","MplusAutomation","xtable"
"2725","MplusAutomation","tcltk"
"2726","MplusAutomation","plyr"
"2727","MplusAutomation","relimp"
"2728","MuMIn","methods"
"2729","mAr","MASS"
"2730","mFilter","R"
"2731","mFilter","stats"
"2732","maanova","R"
"2733","magic","abind"
"2734","magma","R"
"2735","magma","methods"
"2736","magnets","rggobi"
"2737","mapLD","lattice"
"2738","mapReduce","R"
"2739","mapdata","maps"
"2740","mapproj","maps"
"2741","maps","R"
"2742","maptools","foreign"
"2743","maptools","sp"
"2744","maptools","methods"
"2745","maptools","lattice"
"2746","maptree","cluster"
"2747","maptree","rpart"
"2748","mar1s","cmrutils"
"2749","mar1s","fda"
"2750","marelac","shape"
"2751","marelac","seacarb"
"2752","marelacTeaching","marelac"
"2753","marelacTeaching","deSolve"
"2754","marelacTeaching","rootSolve"
"2755","marelacTeaching","scatterplot3d"
"2756","margLikArrogance","R"
"2757","marginTree","e1071"
"2758","marginalmodelplots","locfit"
"2759","marginalmodelplots","grid"
"2760","mathgraph","R"
"2761","maticce","ouch"
"2762","maticce","ape"
"2763","matlab","R"
"2764","matlab","methods"
"2765","matrixStats","R.methodsS3"
"2766","matrixcalc","R"
"2767","maxLik","miscTools"
"2768","maxstat","exactRankTests"
"2769","maxstat","mvtnorm"
"2770","maxstat","survival"
"2771","mbmdr","logistf"
"2772","mboost","R"
"2773","mboost","methods"
"2774","mboost","stats"
"2775","mc2d","mvtnorm"
"2776","mcclust","lpSolve"
"2777","mcgibbsit","coda"
"2778","mclogit","stats"
"2779","mclogit","MASS"
"2780","mclogit","memisc"
"2781","mclogit","Matrix"
"2782","mclust","R"
"2783","mclust","stats"
"2784","mclust","utils"
"2785","mcmc","R"
"2786","mcmcplots","coda"
"2787","mco","R"
"2788","mcprofile","methods"
"2789","mcprofile","lattice"
"2790","mcprofile","graphics"
"2791","mcprofile","stats4"
"2792","mcprofile","splines"
"2793","mcprofile","mvtnorm"
"2794","mcprofile","multcomp"
"2795","mcprofile","MASS"
"2796","mcprofile","mratios"
"2797","mcprofile","lme4"
"2798","mcsm","stats"
"2799","mcsm","MASS"
"2800","mcsm","coda"
"2801","mda","class"
"2802","meboot","ConvergenceConcepts"
"2803","meboot","dynlm"
"2804","meboot","kinship"
"2805","meboot","survival"
"2806","meboot","splines"
"2807","meboot","nlme"
"2808","meboot","lattice"
"2809","meboot","plm"
"2810","meboot","zoo"
"2811","mecdf","ofp"
"2812","mederrRank","BB"
"2813","mederrRank","methods"
"2814","mederrRank","numDeriv"
"2815","mederrRank","utils"
"2816","mediation","MASS"
"2817","mediation","Matrix"
"2818","mefa4","methods"
"2819","mefa4","Matrix"
"2820","mem","sm"
"2821","mem","boot"
"2822","memisc","lattice"
"2823","memisc","grid"
"2824","memisc","stats"
"2825","memisc","methods"
"2826","memisc","utils"
"2827","memisc","MASS"
"2828","meta","R"
"2829","meta","grid"
"2830","metaMA","SMVar"
"2831","metacor","rmeta"
"2832","metacor","gsl"
"2833","metafor","Formula"
"2834","metafor","nlme"
"2835","metatest","R"
"2836","mfp","survival"
"2837","mgcv","R"
"2838","mgpd","evd"
"2839","mhsmm","mvtnorm"
"2840","mht","glmnet"
"2841","mhurdle","Formula"
"2842","mhurdle","truncreg"
"2843","mhurdle","maxLik"
"2844","mi","methods"
"2845","mi","MASS"
"2846","mi","nnet"
"2847","mi","car"
"2848","mi","arm"
"2849","mi","Matrix"
"2850","mi","lme4"
"2851","mi","R2WinBUGS"
"2852","mi","abind"
"2853","micEcon","np"
"2854","micEcon","miscTools"
"2855","micEconAids","systemfit"
"2856","micEconAids","miscTools"
"2857","micEconAids","lmtest"
"2858","micEconAids","micEcon"
"2859","micEconCES","systemfit"
"2860","micEconCES","miscTools"
"2861","micEconCES","micEcon"
"2862","micEconCES","minpack.lm"
"2863","micEconCES","DEoptim"
"2864","micEconSNQP","systemfit"
"2865","micEconSNQP","miscTools"
"2866","micEconSNQP","micEcon"
"2867","micEconSNQP","MASS"
"2868","mice","MASS"
"2869","mice","nnet"
"2870","mice","methods"
"2871","mice","lattice"
"2872","migui","tcltk"
"2873","migui","tkrplot"
"2874","migui","mi"
"2875","migui","foreign"
"2876","mimR","methods"
"2877","mimR","gRbase"
"2878","mimR","graph"
"2879","mimR","rcom"
"2880","mimR","MASS"
"2881","minet","infotheo"
"2882","miniGUI","R"
"2883","miniGUI","tcltk"
"2884","minqa","Rcpp"
"2885","minxent","R"
"2886","mirf","haplo.stats"
"2887","mirf","randomForest"
"2888","missMDA","FactoMineR"
"2889","mix","stats"
"2890","mixAK","colorspace"
"2891","mixAK","lme4"
"2892","mixAK","mnormt"
"2893","mixAK","coda"
"2894","mixOmics","igraph"
"2895","mixOmics","rgl"
"2896","mixOmics","lattice"
"2897","mixPHM","survival"
"2898","mixPHM","lattice"
"2899","mixdist","R"
"2900","mixedQF","nnet"
"2901","mixedQF","MASS"
"2902","mixer","R"
"2903","mixer","methods"
"2904","mixlow","nlme"
"2905","mixreg","R"
"2906","mixsep","tcltk2"
"2907","mixsep","MASS"
"2908","mixsep","RODBC"
"2909","mixsmsn","mvtnorm"
"2910","mixstock","coda"
"2911","mixstock","plotrix"
"2912","mixstock","abind"
"2913","mixstock","lattice"
"2914","mixtools","boot"
"2915","mixtools","MASS"
"2916","mixtools","R"
"2917","mkin","FME"
"2918","mkin","deSolve"
"2919","mlbench","R"
"2920","mlmRev","lme4"
"2921","mlmRev","R"
"2922","mlogit","Formula"
"2923","mlogit","statmod"
"2924","mlogit","lmtest"
"2925","mlogit","maxLik"
"2926","mlogit","zoo"
"2927","mlogitBMA","BMA"
"2928","mlogitBMA","abind"
"2929","mlogitBMA","maxLik"
"2930","mmcm","mvtnorm"
"2931","mnormt","R"
"2932","modTempEff","mgcv"
"2933","modTempEff","splines"
"2934","modeest","R"
"2935","modelcf","R"
"2936","modelfree","PolynomF"
"2937","modelfree","SparseM"
"2938","modelfree","stats"
"2939","modelfree","utils"
"2940","modelfree","base"
"2941","modeltools","stats"
"2942","modeltools","stats4"
"2943","moduleColor","impute"
"2944","moduleColor","grDevices"
"2945","moduleColor","dynamicTreeCut"
"2946","mokken","R"
"2947","mombf","mvtnorm"
"2948","mombf","ncvreg"
"2949","mombf","actuar"
"2950","mondate","utils"
"2951","mondate","methods"
"2952","monoProc","R"
"2953","monoProc","methods"
"2954","monomvn","pls"
"2955","monomvn","lars"
"2956","monomvn","MASS"
"2957","monreg","R"
"2958","mpm","MASS"
"2959","mpm","KernSmooth"
"2960","mpmcorrelogram","vegan"
"2961","mprobit","R"
"2962","mr","nlme"
"2963","mr","sandwich"
"2964","mr","sn"
"2965","mr","geoR"
"2966","mratios","R"
"2967","mrdrc","drc"
"2968","mrdrc","locfit"
"2969","mrdrc","EffectiveDose"
"2970","mritc","lattice"
"2971","mritc","misc3d"
"2972","mritc","fmri"
"2973","mritc","AnalyzeFMRI"
"2974","mrt","boot"
"2975","mrt","MBESS"
"2976","mrt","Hmisc"
"2977","mrt","moments"
"2978","msBreast","R"
"2979","msDilution","R"
"2980","msProcess","wmtsa"
"2981","msProcess","robust"
"2982","msProcess","XML"
"2983","msProcess","stats"
"2984","msProstate","R"
"2985","msSurv","class"
"2986","msSurv","graph"
"2987","msSurv","lattice"
"2988","mseq","gbm"
"2989","mspath","methods"
"2990","mspath","stats"
"2991","msr","class"
"2992","msr","glmnet"
